video_id;title;channel_title;views;likes;dislikes
Jw1Y-zhQURU;John Lewis Christmas Ad 2017 - #MozTheMonster;John Lewis;7224515;55681;10247
3s1rvMFUweQ;Taylor Swift: …Ready for It? (Live) - SNL;Saturday Night Live;1053632;25561;2294
n1WpP7iowLc;Eminem - Walk On Water (Audio) ft. Beyoncé;EminemVEVO;17158579;787420;43420
rHwDegptbI4;Dashcam captures truck's near miss with child in Norway;Cute Girl Videos;9815;30;2
2Vv-BfVoq4g;Ed Sheeran - Perfect (Official Music Video);Ed Sheeran;33523622;1634124;21082
ONQ-fAp5X64;CAN BABIES DO GYMNASTICS?  **World Record**;Nile Wilson;306724;9591;266
b4vTZx_AtHk;How To Dry a Shirt in 30 Seconds;HowToBasic;2063667;98804;11682
BsfhHKx6ajA;Attracting An Alpaca With An Accordion | Nowhere Else;Good Mythical Morning;728547;12553;2146
DIU3xPdhCBI;Sam Smith surprises brides at their wedding! (At The BBC);BBC Music;893462;22326;833
6p-QzY5bxJ0;The 'Stranger Things' Kids Were Nearly a Motown Super Group;The Late Late Show with James Corden;5541767;263918;1502
Ja_GMU7-sjs;Google Pixelbook: $1000 of Weird!;Marques Brownlee;1575525;52829;1524
Y5MqpKlKiSM;Decluttering My Life ?;Gabriella Lindley;106122;5364;153
cUtYh_ZUjqc;You Know You’re British When… | The December Issue | British Vogue;British Vogue;71231;1881;182
z7VBtM7clT4;Justice League Movie Cast Reveal Funniest Moments Together | MTV Movies;MTV International;82639;1267;38
